Phone timestamp,X [mg],Y [mg],Z [mg],Type,Amount
2021-12-07 21:17:39.223,-867,1065,-107,,
2021-12-07 21:17:39.243,-408,1275,-97,,
2021-12-07 21:17:39.262,8,1706,262,,
2021-12-07 21:17:39.282,135,2111,397,,
2021-12-07 21:17:39.301,266,2117,445,,
2021-12-07 21:17:39.321,-148,1768,94,,
2021-12-07 21:17:39.340,-438,1524,-131,,
2021-12-07 21:17:39.360,-259,1390,-184,,
2021-12-07 21:17:39.379,-283,1010,-501,,
2021-12-07 21:17:39.399,-126,657,-592,,
2021-12-07 21:17:39.418,-356,708,-400,,
2021-12-07 21:17:39.438,-562,822,-502,,
2021-12-07 21:17:39.457,-516,727,-614,,
2021-12-07 21:17:39.477,-479,952,-543,,
2021-12-07 21:17:39.496,-195,1190,-431,,
2021-12-07 21:17:39.516,99,1716,-730,,
2021-12-07 21:17:39.535,357,1481,-889,,
2021-12-07 21:17:39.555,18,1388,411,,
2021-12-07 21:17:39.574,102,2270,-218,,
2021-12-07 21:17:39.594,949,3028,-450,,
2021-12-07 21:17:39.613,1408,2879,83,,
2021-12-07 21:17:39.633,-93,1753,-758,,
2021-12-07 21:17:39.652,-708,1062,-672,,
2021-12-07 21:17:39.672,-664,915,-797,,
2021-12-07 21:17:39.691,-525,1063,-231,,
2021-12-07 21:17:39.711,-470,833,-58,,
2021-12-07 21:17:39.730,-801,306,-758,,
2021-12-07 21:17:39.750,-732,85,-809,,
2021-12-07 21:17:39.769,-1051,16,-951,,
2021-12-07 21:17:39.789,-1126,427,-603,,
2021-12-07 21:17:39.808,-779,922,-316,,
2021-12-07 21:17:39.828,-577,299,-240,,
2021-12-07 21:17:39.847,-888,155,-358,,
2021-12-07 21:17:39.867,-1206,231,-479,,
2021-12-07 21:17:39.886,-964,596,-469,,
2021-12-07 21:17:39.906,-728,845,-366,,
2021-12-07 21:17:39.925,-598,498,-631,,
2021-12-07 21:17:39.945,-517,475,-818,,
2021-12-07 21:17:39.964,-218,575,-905,,
2021-12-07 21:17:39.984,-289,641,-1007,,
2021-12-07 21:17:40.004,-365,1004,-718,,
2021-12-07 21:17:40.023,-219,1181,-804,,
2021-12-07 21:17:40.043,161,1118,-1022,,
2021-12-07 21:17:40.062,-157,1178,-899,,
2021-12-07 21:17:40.082,-894,772,-1266,,
2021-12-07 21:17:40.101,-856,696,11,,
2021-12-07 21:17:40.121,742,904,-991,,
2021-12-07 21:17:40.140,1155,1057,-1743,,
2021-12-07 21:17:40.160,-62,1256,-1747,,
2021-12-07 21:17:40.179,-730,1360,-1683,,
2021-12-07 21:17:40.199,-1518,1255,-1626,,
2021-12-07 21:17:40.218,-2792,1049,-1710,,
2021-12-07 21:17:40.238,-1263,1120,-1891,,
2021-12-07 21:17:40.257,1083,527,-1571,,
2021-12-07 21:17:40.277,1618,268,-812,,
2021-12-07 21:17:40.296,1374,-131,-224,,
2021-12-07 21:17:40.316,750,-256,381,,
2021-12-07 21:17:40.335,427,-405,850,,
2021-12-07 21:17:40.355,-369,-394,1070,,
2021-12-07 21:17:40.374,-1139,-250,1063,,
2021-12-07 21:17:40.394,-1578,-47,582,,
2021-12-07 21:17:40.413,-1543,271,-48,,
2021-12-07 21:17:40.433,-1420,741,-493,,
2021-12-07 21:17:40.452,-680,1051,-825,,
2021-12-07 21:17:40.472,-633,1135,-944,,
2021-12-07 21:17:40.491,-661,1124,-850,,
2021-12-07 21:17:40.511,-987,1526,-2670,,
2021-12-07 21:17:40.530,-304,-637,-1654,,
2021-12-07 21:17:40.550,215,1057,-437,,
2021-12-07 21:17:40.569,640,1177,120,,
2021-12-07 21:17:40.589,-107,832,65,,
2021-12-07 21:17:40.608,-75,814,-6,,
2021-12-07 21:17:40.628,259,776,-52,,
2021-12-07 21:17:40.647,18,718,107,,
2021-12-07 21:17:40.667,25,742,57,,
2021-12-07 21:17:40.686,-229,640,-2245,,
2021-12-07 21:17:40.706,-571,806,-158,,
2021-12-07 21:17:40.725,-352,914,-816,,
2021-12-07 21:17:40.745,-849,885,-582,,
2021-12-07 21:17:40.764,-1210,1353,-471,,
2021-12-07 21:17:40.784,-1559,1903,-491,,
2021-12-07 21:17:40.803,-1750,1717,-1130,,
2021-12-07 21:17:40.823,-1767,1351,-1184,,
2021-12-07 21:17:40.842,-1324,1201,-1486,,
2021-12-07 21:17:40.862,-1369,1203,-1167,,
2021-12-07 21:17:40.881,-1164,846,-858,,
2021-12-07 21:17:40.901,-762,119,-505,,
2021-12-07 21:17:40.920,-706,-765,26,,
2021-12-07 21:17:40.940,-743,-1222,439,,
2021-12-07 21:17:40.960,-647,-1156,481,,
2021-12-07 21:17:40.979,385,-1223,-582,,
2021-12-07 21:17:40.999,-90,-693,-568,,
2021-12-07 21:17:41.018,631,346,-1305,,
